left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,confidence,feedback,label
147.44218685351495,164.17085703130658,122.84528656852444,95.15901861809985,175.68119447274353,180.0,81.05789785998898,Adjust your form for better posture.,Incorrect
174.8520686627889,169.40713843872734,106.89903371392523,94.75134608890262,180.0,180.0,82.93281968746574,Good form! Keep it up.,Correct
170.9511622712862,132.6603291104295,106.84761483137623,95.49179238283396,176.68858511498485,180.0,89.85335664226967,Adjust your form for better posture.,Incorrect
180.0,176.55050988988953,85.184985349534,76.36860219299842,167.407732099705,177.3775038555598,96.06809079938554,Good form! Keep it up.,Correct
158.12761909908255,180.0,77.29949844490913,71.76928507894945,180.0,152.4401808055592,53.14313988620083,Adjust your form for better posture.,Incorrect
180.0,180.0,105.65333726525822,89.12408998537363,159.2740254555357,167.32599883571288,51.58475301393429,Adjust your form for better posture.,Incorrect
180.0,180.0,82.31412234864577,92.02905857689558,171.43042910958263,180.0,82.11951949202253,Good form! Keep it up.,Correct
172.97073055834827,165.2080188301864,77.59452891059324,94.1390531274626,178.14439200190023,161.28390305150504,74.95583345166554,Adjust your form for better posture.,Incorrect
180.0,180.0,92.16297684579938,94.47951077357027,176.45334718695474,180.0,89.76852949684847,Good form! Keep it up.,Correct
143.72268687207006,180.0,90.16861114473865,119.90548828218007,173.90524192896882,145.4420312382357,58.76855949432177,Adjust your form for better posture.,Incorrect
180.0,180.0,103.75359011619845,78.37626202257889,174.65184529741845,160.84663608618422,81.59286503693455,Good form! Keep it up.,Correct
180.0,180.0,75.6984970662521,124.02535678069997,151.62114075244833,154.23741754844667,72.70163393046232,Adjust your form for better posture.,Incorrect
165.4506357914185,151.89191198728085,60.861978748579055,103.9494369330998,174.56964113353635,162.53125337030747,60.624001703548245,Adjust your form for better posture.,Incorrect
174.3250277506071,175.82960852929253,87.91099638932589,92.14368914630907,170.14343607043062,175.93912654252176,91.40121537770106,Good form! Keep it up.,Correct
178.51010343928,180.0,74.47804122872974,81.18043860212333,164.19221424959846,178.53152295441996,81.28139567228412,Good form! Keep it up.,Correct
162.44006329523097,176.6178679282717,97.28384735135337,90.6410382751749,180.0,174.31230463783658,89.02729330436959,Good form! Keep it up.,Correct
180.0,175.66755819633227,89.84156078623857,98.99972912605107,162.03628237423294,169.0090177554152,86.91004198471781,Good form! Keep it up.,Correct
180.0,170.833353732631,93.3021798214934,78.24728746109271,180.0,180.0,80.12513834956144,Good form! Keep it up.,Correct
161.09044182204298,180.0,114.03925629863949,82.2780107505836,138.17583245548136,152.13143103912196,55.10853934540939,Adjust your form for better posture.,Incorrect
155.11946664397237,180.0,111.67156069689341,95.66268028591375,164.69739194703683,156.52173505960556,84.45479985453744,Adjust your form for better posture.,Incorrect
180.0,168.12705529117017,85.56641504508801,79.05084869471028,180.0,165.93366352844217,87.3871428858139,Good form! Keep it up.,Correct
166.21560205195019,168.35045083690096,92.96730725036606,94.26212022761872,180.0,179.43649377152187,89.6863205929325,Adjust your form for better posture.,Incorrect
140.08131303675276,163.55629331805497,101.47005779286093,76.53676278239038,155.99041490826932,141.99272212878955,82.10573239182841,Adjust your form for better posture.,Incorrect
149.12144414561985,174.62289804855774,106.35716969360249,74.69656088267556,155.01237212504677,146.48386875824417,85.16473230248658,Adjust your form for better posture.,Incorrect
